OrderDate,Region,Sales Channel,Order Priority,Item Type,Units Sold,Unit Price,Unit Cost,Country,Total Revenue,Total Cost,Total Profit
2022-06-21,América,Tienda,Alta,Cámara,147,1459.31,889.07,Colombia,214518.56999999998,130693.29000000001,83825.27999999997
2023-03-09,Asia,Online,Media,Tablet,233,994.34,648.52,Corea del Sur,231681.22,151105.16,80576.06
2020-10-08,Europa,Tienda,Media,Teléfono,142,336.08,774.82,Alemania,47723.36,110024.44,-62301.08
2024-08-30,Asia,Online,Baja,Tablet,436,699.45,655.26,Singapur,304960.2,285693.36,19266.840000000026
2022-07-21,Asia,Tienda,Media,Teléfono,462,769.98,46.46,China,355730.76,21464.52,334266.24
2020-08-23,África,Online,Baja,Cámara,150,1149.06,712.03,Sudáfrica,172359.0,106804.5,65554.5
2024-08-23,América,Tienda,Baja,Laptop,132,1018.28,201.78,Ecuador,134412.96,26634.96,107778.0
2019-08-30,América,Tienda,Media,Cámara,239,796.48,692.09,Ecuador,190358.72,165409.51,24949.209999999992
2024-08-03,Oceanía,Tienda,Media,Smartwatch,372,1036.53,40.19,Australia,385589.16,14950.679999999998,370638.48
2022-09-25,Asia,Online,Media,Teléfono,315,84.88,331.58,China,26737.199999999997,104447.7,-77710.5
2024-11-09,Asia,Online,Media,Smartwatch,162,1176.12,531.42,India,190531.43999999997,86090.04,104441.39999999998
2022-10-22,Europa,Tienda,Alta,Televisor,320,356.87,353.18,Francia,114198.4,113017.6,1180.7999999999884
2023-01-18,América,Online,Media,Cámara,250,1001.79,703.17,Argentina,250447.5,175792.5,74655.0
2021-02-14,Europa,Tienda,Baja,Smartwatch,128,215.26,537.03,España,27553.28,68739.84,-41186.56
2019-02-04,África,Online,Baja,Teléfono,274,215.97,960.88,Nigeria,59175.78,263281.12,-204105.34
2024-05-09,Oceanía,Online,Alta,Laptop,482,101.7,377.08,Nueva Zelanda,49019.4,181752.56,-132733.16
2023-05-05,Europa,Online,Alta,Laptop,82,1369.84,730.2,Reino Unido,112326.87999999999,59876.4,52450.47999999999
2021-10-18,América,Tienda,Media,Cámara,232,926.61,840.77,México,214973.52,195058.63999999998,19914.880000000005
2022-02-03,África,Online,Alta,Tablet,31,574.84,276.01,Marruecos,17820.04,8556.31,9263.730000000001
2023-02-09,Asia,Online,Media,Laptop,234,1192.28,761.51,Singapur,278993.52,178193.34,100800.18000000002
2020-12-03,África,Tienda,Media,Televisor,84,957.82,411.51,Nigeria,80456.88,34566.84,45890.04000000001
2023-04-29,Europa,Tienda,Alta,Teléfono,484,949.12,154.87,España,459374.08,74957.08,384417.0
2019-06-11,América,Online,Alta,Auriculares,42,756.21,33.54,EE.UU.,31760.82,1408.68,30352.14
2019-07-21,Europa,Online,Baja,Laptop,202,61.49,751.44,Alemania,12420.98,151790.88,-139369.9
2024-06-04,Asia,Tienda,Alta,Smartwatch,251,424.77,210.66,India,106617.26999999999,52875.659999999996,53741.60999999999
2021-09-22,Asia,Tienda,Alta,Teléfono,387,208.16,79.66,Singapur,80557.92,30828.42,49729.5
2021-03-26,América,Tienda,Alta,Tablet,85,1010.49,512.29,Argentina,85891.65,43544.649999999994,42347.0
2020-03-31,Oceanía,Tienda,Baja,Auriculares,484,410.5,366.3,Nueva Zelanda,198682.0,177289.2,21392.79999999999
2022-06-29,África,Tienda,Media,Tablet,183,702.74,701.05,Egipto,128601.42,128292.15,309.2700000000041
2021-10-13,África,Online,Baja,Televisor,266,562.47,134.14,Marruecos,149617.02000000002,35681.24,113935.78000000003
2019-12-04,Asia,Tienda,Alta,Tablet,71,257.64,158.67,Japón,18292.44,11265.57,7026.869999999999
2021-05-28,Europa,Tienda,Alta,Teléfono,22,1439.64,421.98,Alemania,31672.08,9283.560000000001,22388.52
2021-12-12,Europa,Online,Alta,Auriculares,407,1403.46,534.8,Italia,571208.22,217663.59999999998,353544.62
2021-03-02,Oceanía,Tienda,Media,Cámara,76,172.68,829.47,Nueva Zelanda,13123.68,63039.72,-49916.04
2021-02-02,Europa,Tienda,Baja,Tablet,487,1249.68,598.06,Reino Unido,608594.16,291255.22,317338.94000000006
2020-01-15,África,Tienda,Baja,Tablet,269,758.14,905.52,Egipto,203939.66,243584.88,-39645.22
2020-05-07,Europa,Online,Media,Cámara,168,1171.92,241.23,Italia,196882.56,40526.64,156355.91999999998
2022-03-26,Oceanía,Tienda,Baja,Smartwatch,379,269.18,608.33,Australia,102019.22,230557.07,-128537.85
2024-08-24,África,Tienda,Media,Smartwatch,397,241.8,665.58,Marruecos,95994.6,264235.26,-168240.66
2019-03-06,Europa,Tienda,Media,Televisor,353,1341.6,734.03,Reino Unido,473584.8,259112.59,214472.21
2022-09-29,África,Tienda,Baja,Cámara,351,1351.84,988.99,Marruecos,474495.83999999997,347135.49,127360.34999999998
2022-02-26,Asia,Online,Baja,Cámara,240,725.57,483.99,India,174136.80000000002,116157.6,57979.20000000001
2024-07-20,Asia,Online,Media,Teléfono,51,1311.73,388.24,Singapur,66898.23,19800.24,47097.98999999999
2023-02-04,Asia,Tienda,Baja,Tablet,448,1017.82,856.64,Singapur,455983.36000000004,383774.72,72208.64000000007
2022-03-08,Europa,Tienda,Media,Teléfono,476,318.26,201.49,Francia,151491.76,95909.24,55582.520000000004
2023-03-03,Oceanía,Tienda,Baja,Laptop,83,526.98,65.92,Nueva Zelanda,43739.340000000004,5471.360000000001,38267.98
2020-01-27,África,Tienda,Baja,Televisor,469,247.29,460.28,Sudáfrica,115979.01,215871.31999999998,-99892.30999999998
2023-08-26,América,Tienda,Baja,Smartwatch,352,1172.23,269.79,Ecuador,412624.96,94966.08,317658.88
2020-02-23,Asia,Tienda,Baja,Cámara,90,1478.61,414.63,Japón,133074.9,37316.7,95758.2
2020-01-14,Asia,Tienda,Baja,Televisor,382,842.25,986.5,Japón,321739.5,376843.0,-55103.5
2023-12-02,América,Online,Alta,Televisor,13,1001.0,368.03,Brasil,13013.0,4784.389999999999,8228.61
2024-09-19,América,Tienda,Alta,Teléfono,157,1131.83,716.73,Colombia,177697.31,112526.61,65170.7
2024-12-22,Europa,Online,Baja,Cámara,199,375.18,272.89,España,74660.82,54305.11,20355.710000000006
2019-07-20,África,Online,Baja,Smartwatch,431,537.2,324.32,Sudáfrica,231533.2,139781.91999999998,91751.28000000003
2024-02-07,Asia,Tienda,Baja,Smartwatch,154,647.87,265.86,Corea del Sur,99771.98,40942.44,58829.53999999999
2021-02-18,Oceanía,Online,Media,Tablet,198,912.15,585.0,Australia,180605.69999999998,115830.0,64775.69999999998
2020-05-17,Europa,Online,Alta,Tablet,224,1283.21,249.33,Alemania,287439.04000000004,55849.920000000006,231589.12000000002
2023-10-18,Europa,Online,Media,Teléfono,484,418.6,726.81,Reino Unido,202602.40000000002,351776.04,-149173.63999999996
2021-03-15,Oceanía,Tienda,Alta,Teléfono,118,732.79,689.87,Nueva Zelanda,86469.22,81404.66,5064.559999999998
2024-11-16,Oceanía,Online,Alta,Laptop,151,1139.72,438.63,Australia,172097.72,66233.13,105864.59
2024-03-10,Oceanía,Online,Baja,Auriculares,244,176.71,54.81,Nueva Zelanda,43117.240000000005,13373.640000000001,29743.600000000006
2023-04-20,América,Tienda,Baja,Auriculares,75,793.7,51.97,Colombia,59527.5,3897.75,55629.75
2021-08-18,Asia,Tienda,Media,Televisor,440,259.35,546.82,Singapur,114114.00000000001,240600.80000000002,-126486.8
2023-01-25,América,Online,Media,Tablet,213,831.77,844.02,Brasil,177167.01,179776.26,-2609.25
2021-10-25,Asia,Tienda,Baja,Smartwatch,275,1163.34,610.91,China,319918.5,168000.25,151918.25
2020-05-17,América,Tienda,Baja,Cámara,354,393.57,452.58,México,139323.78,160213.32,-20889.540000000008
2020-02-02,África,Online,Alta,Televisor,497,1281.74,885.66,Nigeria,637024.78,440173.01999999996,196851.76000000007
2021-05-20,Asia,Online,Alta,Cámara,367,535.47,221.09,Singapur,196517.49000000002,81140.03,115377.46000000002
2020-01-28,Europa,Online,Baja,Smartwatch,244,326.64,378.64,Francia,79700.16,92388.16,-12688.0
2019-07-26,Asia,Tienda,Alta,Tablet,178,724.72,578.35,Japón,129000.16,102946.3,26053.86
2021-11-04,Asia,Online,Media,Tablet,108,1320.31,312.92,Japón,142593.47999999998,33795.36,108798.11999999998
2024-02-25,Asia,Online,Alta,Laptop,291,149.95,997.78,Japón,43635.45,290353.98,-246718.52999999997
2023-01-24,África,Tienda,Baja,Teléfono,177,524.98,468.75,Marruecos,92921.46,82968.75,9952.710000000006
2021-05-13,América,Tienda,Alta,Cámara,479,997.09,80.17,Chile,477606.11000000004,38401.43,439204.68000000005
2020-07-17,Europa,Tienda,Baja,Teléfono,174,568.49,200.8,Reino Unido,98917.26,34939.200000000004,63978.05999999999
2021-10-17,América,Tienda,Alta,Teléfono,93,152.69,546.51,Colombia,14200.17,50825.43,-36625.26
2019-04-06,América,Online,Media,Auriculares,454,531.4,563.55,México,241255.59999999998,255851.69999999998,-14596.100000000006
2024-04-07,Oceanía,Online,Media,Teléfono,100,1240.39,984.62,Australia,124039.00000000001,98462.0,25577.000000000015
2023-10-24,África,Online,Baja,Auriculares,181,1453.65,611.97,Marruecos,263110.65,110766.57,152344.08000000002
2023-08-06,Oceanía,Tienda,Baja,Smartwatch,159,107.68,676.63,Nueva Zelanda,17121.120000000003,107584.17,-90463.04999999999
2020-06-24,África,Online,Baja,Televisor,96,875.46,237.31,Sudáfrica,84044.16,22781.760000000002,61262.4
2021-11-25,América,Tienda,Alta,Cámara,232,202.69,133.66,Argentina,47024.08,31009.12,16014.960000000003
2022-03-29,América,Tienda,Alta,Auriculares,251,1036.57,613.95,Colombia,260179.06999999998,154101.45,106077.61999999997
2023-09-19,África,Tienda,Alta,Tablet,340,61.44,868.93,Marruecos,20889.6,295436.2,-274546.60000000003
2023-12-25,América,Online,Media,Laptop,406,71.38,599.75,Chile,28980.28,243498.5,-214518.22
2023-05-17,América,Tienda,Baja,Cámara,67,1176.48,459.5,EE.UU.,78824.16,30786.5,48037.66
2021-03-06,Europa,Online,Alta,Laptop,392,157.93,590.86,Francia,61908.560000000005,231617.12,-169708.56
2021-11-17,Oceanía,Online,Media,Tablet,237,492.51,484.71,Nueva Zelanda,116724.87,114876.26999999999,1848.6000000000058
2023-07-02,Oceanía,Online,Baja,Smartwatch,19,1439.16,167.63,Nueva Zelanda,27344.04,3184.97,24159.07
2022-09-25,Oceanía,Tienda,Media,Cámara,287,1478.61,748.95,Nueva Zelanda,424361.06999999995,214948.65000000002,209412.41999999993
2024-06-04,Asia,Online,Baja,Televisor,288,284.03,547.05,Japón,81800.63999999998,157550.4,-75749.76000000001
2022-09-16,Europa,Online,Alta,Laptop,207,863.31,417.34,Francia,178705.16999999998,86389.37999999999,92315.79
2023-07-22,Oceanía,Tienda,Media,Cámara,311,860.77,572.85,Australia,267699.47,178156.35,89543.11999999997
2023-03-10,Oceanía,Online,Media,Tablet,103,705.95,263.99,Australia,72712.85,27190.97,45521.880000000005
2024-07-31,Europa,Tienda,Media,Laptop,159,1390.82,445.12,Francia,221140.37999999998,70774.08,150366.3
2023-02-05,América,Online,Baja,Auriculares,195,1143.35,633.77,Brasil,222953.24999999997,123585.15,99368.09999999998
2022-11-09,Oceanía,Tienda,Baja,Smartwatch,51,1158.56,249.41,Australia,59086.56,12719.91,46366.649999999994
2022-11-01,América,Tienda,Media,Laptop,378,440.88,756.53,Colombia,166652.63999999998,285968.33999999997,-119315.69999999998
2022-07-30,Oceanía,Tienda,Baja,Smartwatch,224,679.76,535.38,Nueva Zelanda,152266.24,119925.12,32341.119999999995
2021-08-30,África,Tienda,Media,Smartwatch,202,756.76,865.86,Sudáfrica,152865.52,174903.72,-22038.20000000001
2023-11-04,Asia,Tienda,Alta,Auriculares,92,483.42,851.82,India,44474.64,78367.44,-33892.8
2022-07-06,Oceanía,Online,Media,Cámara,155,187.49,509.68,Nueva Zelanda,29060.95,79000.4,-49939.45
2020-12-10,África,Online,Media,Smartwatch,176,233.22,219.6,Egipto,41046.72,38649.6,2397.1200000000026
2023-01-19,Europa,Online,Baja,Auriculares,110,311.97,744.54,Italia,34316.700000000004,81899.4,-47582.69999999999
2022-12-05,África,Online,Baja,Laptop,488,345.3,436.12,Egipto,168506.4,212826.56,-44320.16
2020-10-10,Europa,Tienda,Baja,Laptop,299,401.28,606.79,Italia,119982.71999999999,181430.21,-61447.490000000005
2019-11-14,Oceanía,Tienda,Alta,Smartwatch,223,420.42,134.05,Australia,93753.66,29893.15,63860.51
2022-06-11,Europa,Online,Alta,Auriculares,179,710.79,642.64,Alemania,127231.40999999999,115032.56,12198.849999999991
2020-11-14,África,Tienda,Alta,Laptop,226,788.88,392.34,Egipto,178286.88,88668.84,89618.04000000001
2020-10-25,Asia,Online,Baja,Smartwatch,453,497.87,354.16,Japón,225535.11000000002,160434.48,65100.630000000005
2024-06-21,América,Tienda,Media,Cámara,75,1365.58,980.52,EE.UU.,102418.5,73539.0,28879.5
2023-06-20,América,Tienda,Media,Televisor,71,852.05,449.46,Colombia,60495.549999999996,31911.66,28583.889999999996
2023-02-04,Asia,Online,Media,Teléfono,328,1191.84,687.7,India,390923.51999999996,225565.6,165357.91999999995
2022-02-10,América,Online,Baja,Cámara,209,1390.14,638.9,México,290539.26,133530.1,157009.16
2024-01-28,Oceanía,Tienda,Baja,Cámara,492,286.55,131.17,Nueva Zelanda,140982.6,64535.63999999999,76446.96000000002
2023-03-01,Oceanía,Online,Alta,Teléfono,434,670.42,755.49,Australia,290962.27999999997,327882.66000000003,-36920.38000000006
2020-07-17,África,Online,Baja,Tablet,445,678.16,343.46,Egipto,301781.2,152839.69999999998,148941.50000000003
2022-07-15,África,Online,Media,Smartwatch,103,563.98,804.97,Nigeria,58089.94,82911.91,-24821.97
2023-06-25,Europa,Online,Alta,Teléfono,41,62.91,619.41,España,2579.31,25395.809999999998,-22816.499999999996
2020-11-29,África,Tienda,Alta,Televisor,435,1233.16,337.58,Nigeria,536424.6000000001,146847.3,389577.3000000001
2024-11-30,Oceanía,Tienda,Baja,Smartwatch,334,211.76,375.6,Australia,70727.84,125450.40000000001,-54722.56000000001
2019-01-02,África,Tienda,Alta,Teléfono,280,1493.45,739.56,Nigeria,418166.0,207076.8,211089.2
2020-10-03,América,Tienda,Alta,Teléfono,30,1170.79,563.56,Ecuador,35123.7,16906.8,18216.899999999998
2023-05-09,Europa,Online,Baja,Televisor,243,891.01,678.3,Francia,216515.43,164826.9,51688.53
2021-05-04,Europa,Online,Alta,Auriculares,52,274.18,183.57,Reino Unido,14257.36,9545.64,4711.720000000001
2023-10-26,Oceanía,Online,Media,Teléfono,434,797.32,793.37,Australia,346036.88,344322.58,1714.2999999999884
2023-07-20,África,Tienda,Baja,Cámara,57,428.61,340.78,Sudáfrica,24430.77,19424.46,5006.310000000001
2022-02-27,América,Tienda,Media,Tablet,190,415.87,631.27,Brasil,79015.3,119941.3,-40926.0
2021-12-12,África,Tienda,Media,Cámara,79,1252.82,141.24,Sudáfrica,98972.78,11157.960000000001,87814.81999999999
2023-09-04,Asia,Tienda,Media,Teléfono,373,601.93,341.78,China,224519.88999999998,127483.93999999999,97035.95
2023-08-23,África,Online,Media,Teléfono,437,703.55,659.4,Egipto,307451.35,288157.8,19293.54999999999
2023-09-30,Oceanía,Online,Alta,Televisor,196,1272.3,295.98,Nueva Zelanda,249370.8,58012.08,191358.71999999997
2022-12-10,África,Online,Alta,Televisor,461,177.3,883.9,Egipto,81735.3,407477.89999999997,-325742.6
2021-04-15,Europa,Tienda,Baja,Smartwatch,197,912.2,671.39,Alemania,179703.40000000002,132263.83,47439.570000000036
2019-07-22,América,Tienda,Baja,Tablet,31,888.41,874.17,Colombia,27540.71,27099.27,441.4399999999987
2019-05-03,Oceanía,Tienda,Media,Laptop,332,666.56,413.53,Nueva Zelanda,221297.91999999998,137291.96,84005.95999999999
2020-02-05,Asia,Tienda,Media,Televisor,30,1253.17,62.97,Corea del Sur,37595.100000000006,1889.1,35706.00000000001
2021-02-05,América,Tienda,Baja,Laptop,113,1417.19,588.86,Chile,160142.47,66541.18000000001,93601.29
2019-10-21,América,Tienda,Baja,Tablet,138,724.74,359.02,Colombia,100014.12,49544.759999999995,50469.36
2019-07-17,Europa,Online,Baja,Teléfono,222,711.41,464.74,España,157933.02,103172.28,54760.73999999999
2024-04-14,Europa,Tienda,Baja,Smartwatch,474,777.99,690.68,Francia,368767.26,327382.31999999995,41384.94000000006
2024-12-31,Europa,Tienda,Media,Teléfono,172,1098.53,709.64,Italia,188947.16,122058.08,66889.08
2020-08-31,Oceanía,Tienda,Baja,Cámara,390,1018.69,56.73,Nueva Zelanda,397289.10000000003,22124.699999999997,375164.4
2022-02-21,África,Online,Alta,Smartwatch,155,373.11,776.22,Nigeria,57832.05,120314.1,-62482.05
2019-07-06,América,Online,Media,Laptop,276,142.65,508.71,Argentina,39371.4,140403.96,-101032.56
2023-11-30,África,Tienda,Alta,Cámara,220,1426.42,570.0,Sudáfrica,313812.4,125400.0,188412.40000000002
2020-10-21,África,Online,Baja,Tablet,276,428.55,319.05,Egipto,118279.8,88057.8,30222.0
2024-05-09,Europa,Online,Alta,Tablet,12,975.97,438.21,Italia,11711.64,5258.5199999999995,6453.12
2022-10-01,África,Online,Baja,Televisor,493,1251.24,719.06,Nigeria,616861.32,354496.57999999996,262364.74
2024-06-09,América,Tienda,Alta,Laptop,85,485.4,783.41,México,41259.0,66589.84999999999,-25330.84999999999
2023-03-15,América,Online,Media,Smartwatch,222,971.38,405.49,Colombia,215646.36,90018.78,125627.57999999999
2019-05-27,Asia,Online,Alta,Televisor,49,206.46,700.38,India,10116.54,34318.62,-24202.08
2023-10-01,Oceanía,Online,Media,Laptop,180,1456.4,280.3,Australia,262152.0,50454.0,211698.0
2024-01-18,África,Tienda,Alta,Cámara,10,134.33,837.06,Nigeria,1343.3000000000002,8370.599999999999,-7027.299999999998
2020-05-03,Oceanía,Online,Alta,Televisor,499,685.35,621.52,Nueva Zelanda,341989.65,310138.48,31851.170000000042
2024-05-13,Oceanía,Tienda,Media,Televisor,261,828.39,781.93,Nueva Zelanda,216209.79,204083.72999999998,12126.060000000027
2023-07-22,Oceanía,Online,Media,Tablet,320,1196.2,492.84,Australia,382784.0,157708.8,225075.2
2020-10-02,Oceanía,Tienda,Baja,Tablet,186,225.64,252.24,Australia,41969.04,46916.64,-4947.5999999999985
2023-12-08,América,Tienda,Media,Teléfono,229,689.17,446.35,Ecuador,157819.93,102214.15000000001,55605.779999999984
2024-05-23,África,Tienda,Media,Teléfono,392,484.58,400.04,Marruecos,189955.36,156815.68000000002,33139.679999999964
2022-12-09,Asia,Tienda,Baja,Tablet,158,502.42,352.74,Singapur,79382.36,55732.92,23649.440000000002
2023-06-23,Oceanía,Tienda,Media,Tablet,273,1179.24,235.81,Australia,321932.52,64376.13,257556.39
2019-09-20,Asia,Online,Media,Cámara,323,57.92,766.39,Corea del Sur,18708.16,247543.97,-228835.81
2023-11-23,América,Online,Alta,Televisor,21,1136.17,113.76,Chile,23859.57,2388.96,21470.61
2024-12-31,América,Online,Baja,Teléfono,16,1225.08,890.93,Chile,19601.28,14254.88,5346.4
2020-09-15,Europa,Tienda,Baja,Tablet,480,1356.98,199.77,Francia,651350.4,95889.6,555460.8
2021-10-13,Oceanía,Tienda,Alta,Laptop,283,958.98,980.48,Australia,271391.34,277475.84,-6084.5
2021-05-30,Europa,Tienda,Baja,Laptop,115,533.51,988.81,Alemania,61353.65,113713.15,-52359.49999999999
2024-08-11,Asia,Online,Alta,Teléfono,6,669.49,416.44,Corea del Sur,4016.94,2498.64,1518.3000000000002
2022-08-20,África,Tienda,Media,Laptop,298,1456.12,988.19,Nigeria,433923.75999999995,294480.62,139443.13999999996
2020-03-28,Europa,Tienda,Baja,Smartwatch,400,1327.72,873.0,Reino Unido,531088.0,349200.0,181888.0
2022-03-29,América,Tienda,Media,Televisor,429,722.11,109.96,Brasil,309785.19,47172.84,262612.35
2024-08-18,Oceanía,Tienda,Baja,Teléfono,259,1417.44,948.91,Nueva Zelanda,367116.96,245767.69,121349.27000000002
2023-08-10,Asia,Online,Media,Smartwatch,40,1243.28,71.24,India,49731.2,2849.6,46881.6
2022-02-28,América,Tienda,Baja,Tablet,276,1356.58,206.46,Ecuador,374416.07999999996,56982.96,317433.11999999994
2020-02-08,África,Tienda,Baja,Cámara,232,1040.32,597.06,Egipto,241354.24,138517.91999999998,102836.32
2024-10-02,Oceanía,Tienda,Media,Cámara,7,1293.6,108.32,Nueva Zelanda,9055.199999999999,758.24,8296.96
2023-08-24,África,Tienda,Alta,Smartwatch,315,1343.06,186.88,Nigeria,423063.89999999997,58867.2,364196.69999999995
2020-09-19,África,Online,Baja,Laptop,395,183.42,954.89,Egipto,72450.9,377181.55,-304730.65
2020-08-09,Oceanía,Tienda,Alta,Televisor,93,1449.56,994.85,Australia,134809.08,92521.05,42288.029999999984
2023-07-07,Oceanía,Online,Alta,Tablet,308,533.74,804.19,Nueva Zelanda,164391.92,247690.52000000002,-83298.6
2022-12-14,África,Online,Alta,Auriculares,387,687.85,529.75,Egipto,266197.95,205013.25,61184.70000000001
2022-12-16,Asia,Tienda,Alta,Televisor,21,1198.26,903.29,China,25163.46,18969.09,6194.369999999999
2019-04-14,Oceanía,Tienda,Alta,Laptop,437,1014.1,138.54,Australia,443161.7,60541.979999999996,382619.72000000003
2019-09-11,América,Online,Alta,Televisor,480,1344.94,944.61,Brasil,645571.2000000001,453412.8,192158.40000000008
2023-02-05,Europa,Tienda,Baja,Cámara,414,630.83,371.01,Reino Unido,261163.62000000002,153598.13999999998,107565.48000000004
2019-04-09,Asia,Tienda,Alta,Auriculares,487,591.27,865.64,Corea del Sur,287948.49,421566.68,-133618.19
2024-02-28,Oceanía,Online,Baja,Auriculares,11,95.95,678.32,Nueva Zelanda,1055.45,7461.52,-6406.070000000001
2024-04-03,Oceanía,Online,Baja,Televisor,465,720.95,961.47,Australia,335241.75,447083.55,-111841.79999999999
2021-05-27,Asia,Online,Baja,Cámara,409,1099.9,868.74,India,449859.10000000003,355314.66000000003,94544.44
2019-12-04,Europa,Online,Media,Tablet,50,486.71,891.26,Reino Unido,24335.5,44563.0,-20227.5
2021-08-14,África,Online,Alta,Cámara,473,720.95,642.8,Sudáfrica,341009.35000000003,304044.39999999997,36964.95000000007
2023-09-01,América,Online,Media,Smartwatch,265,368.13,838.16,Ecuador,97554.45,222112.4,-124557.95
2019-06-10,Oceanía,Tienda,Alta,Tablet,45,1170.54,764.42,Nueva Zelanda,52674.299999999996,34398.9,18275.399999999994
2023-05-23,Europa,Tienda,Media,Auriculares,285,137.74,186.77,Italia,39255.9,53229.450000000004,-13973.550000000003
2020-02-02,América,Tienda,Baja,Teléfono,318,1072.81,659.14,México,341153.57999999996,209606.52,131547.05999999997
2022-07-24,Asia,Tienda,Media,Teléfono,271,599.46,173.73,India,162453.66,47080.829999999994,115372.83000000002
2021-03-26,Oceanía,Tienda,Baja,Tablet,275,110.31,873.37,Australia,30335.25,240176.75,-209841.5
2023-03-08,África,Tienda,Media,Teléfono,399,1287.53,93.97,Marruecos,513724.47,37494.03,476230.43999999994
2024-04-03,Asia,Tienda,Alta,Tablet,423,757.2,987.44,Singapur,320295.60000000003,417687.12,-97391.51999999996
2022-11-16,Oceanía,Tienda,Alta,Laptop,35,919.01,418.61,Australia,32165.35,14651.35,17514.0
2022-03-04,Europa,Tienda,Media,Tablet,488,1111.44,195.51,España,542382.72,95408.87999999999,446973.83999999997
2022-05-03,América,Online,Media,Laptop,141,999.86,937.6,Brasil,140980.26,132201.6,8778.660000000003
2020-02-05,América,Online,Alta,Smartwatch,144,1109.74,74.06,Colombia,159802.56,10664.64,149137.91999999998
2020-10-01,Oceanía,Tienda,Media,Auriculares,323,1155.31,486.0,Nueva Zelanda,373165.13,156978.0,216187.13
2020-04-04,Asia,Tienda,Media,Teléfono,245,904.27,777.12,China,221546.15,190394.4,31151.75
2021-08-12,África,Online,Alta,Smartwatch,351,580.17,337.25,Sudáfrica,203639.66999999998,118374.75,85264.91999999998
2020-04-14,Europa,Online,Baja,Smartwatch,311,402.56,542.97,Alemania,125196.16,168863.67,-43667.51000000001
2021-11-11,Oceanía,Online,Alta,Cámara,193,1359.21,709.4,Australia,262327.53,136914.19999999998,125413.33000000005
